point,"Point 1 (75,75)","Point 1 (75,75)","Point 1 (75,75)","Point 1 (75,75)","Point 2 (85,85)","Point 2 (85,85)","Point 2 (85,85)","Point 2 (85,85)","Point 3 (60,80)","Point 3 (60,80)","Point 3 (60,80)","Point 3 (60,80)","Point 4 (37,37)","Point 4 (37,37)","Point 4 (37,37)","Point 4 (37,37)","Point 5 (112,112)","Point 5 (112,112)","Point 5 (112,112)","Point 5 (112,112)"
receptor,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2
time,,,,,,,,,,,,,,,,,,,,
0.08,0.9007308667292602,-1.3979734594204647,0.07612900925625532,0.0034878184007740578,0.5542633216437363,-0.8602407687013026,0.046845866065453545,0.002146223565228659,0.5137784177319226,-0.7974064379745052,0.043424116308133996,0.0019894575455074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.8872812938783268,-1.377099137710556,0.08503801988662615,0.004339856981589829,0.5457369455292109,-0.8470074623348561,0.052304032043691044,0.0026693003780278463,0.5058738634971113,-0.7851382261956148,0.04848351020244872,0.002474322667961957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.8740259566346205,-1.3565262781063765,0.09381807158597197,0.005280068461647033,0.5373415920130716,-0.8339775087365797,0.057678323581729696,0.0032461283004041205,0.49809080609918666,-0.7730585827889718,0.05346513859022958,0.0030090108152475547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.8609622576580078,-1.3362508494231378,0.10247089848914263,0.006307208980233208,0.5290752520147343,-0.8211477897260799,0.06297002680442078,0.0038758820738597354,0.4904273816171198,-0.7611646148681182,0.05837019450154114,0.0035927567764723685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.8480876275690509,-1.3162688638722597,0.11099821572203347,0.007420049635101394,0.5209359471285546,-0.8085152347317961,0.06818040819965765,0.0045577490565238965,0.4828817546163452,-0.7494534737588174,0.0631998527331129,0.004224807049017358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.8353995248863385,-1.2965763769641099,0.1194017194590895,0.00861737639135829,0.5129217291595302,-0.7960768200703878,0.07331071491560869,0.0052909290319208425,0.4754521177167287,-0.7379223543285367,0.06795527012487436,0.004904419660749609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.8228954359535376,-1.277169487394789,0.12768308698711348,0.009897989987330658,0.5050306796659053,-0.7838295682368609,0.07836217505353099,0.006074634020585537,0.4681366911669864,-0.7265684943259189,0.0726375858323617,0.005630863994893464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.8105728748566672,-1.2580443369177499,0.1358439767750609,0.011260705837594346,0.4972609095085791,-0.7717705472052189,0.08333599795622801,0.006908088094486122,0.4609337224254595,-0.7153891737301316,0.0772479215950554,0.006403420617521015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.7984293833320774,-1.239197110200947,0.14388602854951715,0.01270435393334325,0.48961055840722195,-0.7598968697395176,0.08823337449221387,0.007790527194212889,0.45384148574715427,-0.7043817141099219,0.08178738200070798,0.007221381107624076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.7864625306656019,-1.2206240346703137,0.151810863375562,0.014227778740268586,0.4820777945030007,-0.7482056927152223,0.09305547733564544,0.008721198948893998,0.44685828177695613,-0.6935434779922819,0.0862570547457194,0.008084047889730194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.7746699135833305,-1.2023213803402972,0.159620083742739,0.015829839094112313,0.47466081392781967,-0.7366942164506274,0.09780346124208324,0.009699362498798682,0.4399824371489281,-0.6828718682405411,0.09065801089161793,0.008990734069025794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.7630491561344355,-1.184285459631924,0.1673152736558571,0.017509408094052145,0.4673578403799843,-0.7253596840482927,0.1024784633201412,0.010724288320589276,0.4332123040916061,-0.6723643274417591,0.09499130511770235,0.009940763268950078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.7515979095664691,-1.1665126271792867,0.17489799873036116,0.01926537299406934,0.4601671247061928,-0.7141993807462619,0.10708160329908424,0.011795258055183834,0.42654626003920393,-0.6620183373033003,0.09925797596990175,0.010933469471223723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.7403138521935324,-1.1489992796249522,0.1823698062920196,0.02109663509244457,0.45308694448976794,-0.7032106332789781,0.1116139837924322,0.012911564338191682,0.4199827072486411,-0.6518314180584518,0.10345904610590746,0.011968196858276967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.7291946892577009,-1.1317418554048781,0.18973222548068494,0.023002109619521323,0.44611560364503466,-0.692390809247746,0.1160766905576276,0.014072510632884646,0.41352007242231054,-0.6418011278809427,0.10759552253663152,0.013044299658042153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.7182381527840814,-1.1147368345234339,0.19698676735789405,0.024980725623870895,0.4392514320177591,-0.6817373165005914,0.12047079275182417,0.015277411065667367,0.4071568063365011,-0.6319250623082198,0.11166839686404509,0.014161141991076216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.7074420014298571,-1.097980738319133,0.20413492501808203,0.027031425856987364,0.4324927849915587,-0.6712476025214003,0.12479734318385241,0.016525590264010424,0.40089138347539377,-0.6222008536734264,0.11567864551544967,0.015318097719979171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.6968040203276631,-1.0814701292215654,0.2111781737031933,0.029153166656636094,0.4258380431001975,-0.660919153828177,0.1290573785624171,0.017816383196810594,0.3947223016705483,-0.6126261705458451,0.1196272299742328,0.016514550301075008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.6863220209236278,-1.0652016104999815,0.21811797092048138,0.03134491782897392,0.4192856116456819,-0.6507494953803108,0.13325191974058168,0.01914913501714297,0.38864808174580356,-0.6031987171797634,0.12351509700716012,0.01774989263832196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.6759938408103969,-1.0491718260041485,0.22495575656329686,0.03360566252955476,0.4128339203220725,-0.6407361899947288,0.13738197195659307,0.020523200907370292,0.3826672671675088,-0.5939162329716515,0.1273431788882539,0.019023526939419548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.6658173435554468,-1.03337745989793,0.23169295303467083,0.035934397143329355,0.406481422844929,-0.6308768377707666,0.1414485250711007,0.021937945926575098,0.3767784237000098,-0.5847764919254314,0.13111239361930788,0.020334864574080094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.655790418524982,-1.0178152363859458,0.2383309653735082,0.03833013116374339,0.40022659658630577,-0.6211690755236557,0.14545255380082098,0.02339274486028087,0.37098013906631344,-0.5757773021258128,0.13482364514708847,0.021683325934433225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.6459109807037038,-1.0024819194338013,0.24487118138321318,0.040791887071034316,0.39406794221521896,-0.6116105762265366,0.14939501794870028,0.024886982072428964,0.36527102261385364,-0.56691650521956,0.13847782357726965,0.023068340297531804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,0.6361769705107172,-0.987374312482419,0.25131497176257517,0.043318700209822134,0.38800398334350344,-0.6021990484608024,0.15327686263062631,0.02642005135957825,0.35964970498528426,-0.5581919759045529,0.14207580538515038,0.02448934568992866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0.6265863536118439,-0.9724892581567268,0.25766369023875124,0.045909618666086394,0.3820332661769825,-0.5929322358746949,0.15709901849873886,0.027991355807295098,0.3541148377942259,-0.5496016214265133,0.14561845362320125,0.025945788754293507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.6171371207285892,-0.9578236379691558,0.2639186737021871,0.04856370314361682,0.37615435917187245,-0.5838079166500366,0.16086240196138907,0.029600307648701734,0.348665093305893,-0.5411433810833373,0.1491066181254874,0.027437124618040244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.6078272874440072,-0.9433743720183421,0.27008124234332365,0.051280026840021725,0.3703658526963448,-0.5748239029769447,0.16456791539979657,0.031246328125151282,0.3432991641225296,-0.5328152257368756,0.15254113570901265,0.028962816763934852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.5986548940056964,-0.9291384186833701,0.2761526997909468,0.05405767532237477,0.364666358697173,-0.5659780405364764,0.16821644738145228,0.032928847348998466,0.338015762873584,-0.5246151573320742,0.15592283037203147,0.030522336902654896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
